,RequestedDateTime,Rig,Material,QtyRequested,ReceivedDateTime,QtyReceived,Vessel,OriginPort,id,Penalty
44,1/4/2021 8:00,BetaRig,LiquidBulk,3800,1/7/2021 0:42,3800,150C,RotterdamPort,8,0
45,1/4/2021 8:00,BetaRig,Fuel,2500,1/7/2021 1:57,2500,150C,RotterdamPort,8,0
46,1/4/2021 8:00,BetaRig,Casing,12,1/7/2021 3:12,12,150C,RotterdamPort,8,0
47,1/4/2021 8:00,BetaRig,DryBulk,2300,1/7/2021 5:48,2300,150C,RotterdamPort,8,0
48,1/4/2021 8:00,BetaRig,Pipe,12,1/7/2021 15:53,12,150D,RotterdamPort,8,0
49,1/4/2021 8:00,CharlieRig,LiquidBulk,1500,1/6/2021 23:16,1500,150E,HamburgPort,4,0
50,1/4/2021 8:00,CharlieRig,Pipe,50,1/8/2021 15:12,50,150H,HamburgPort,4,0
51,1/4/2021 8:00,DeltaRig,DeckCargo,5,1/9/2021 1:00,5,150G,HamburgPort,5,0
52,1/4/2021 8:00,DeltaRig,LiquidBulk,2200,1/9/2021 1:50,2200,150G,HamburgPort,5,0
53,1/4/2021 8:00,DeltaRig,Fuel,2500,1/9/2021 2:34,2500,150G,HamburgPort,5,0
54,1/4/2021 8:00,DeltaRig,Pipe,50,1/9/2021 3:49,50,150G,HamburgPort,5,0
55,1/5/2021 8:00,AlphaRig,LiquidBulk,1200,1/6/2021 18:17,1200,150A,RotterdamPort,7,0
56,1/5/2021 8:00,AlphaRig,Casing,20,1/9/2021 6:06,20,150B,RotterdamPort,7,0
57,1/5/2021 8:00,AlphaRig,DryBulk,2300,1/9/2021 10:26,2300,150B,RotterdamPort,7,0
58,1/5/2021 8:00,AlphaRig,Pipe,12,1/9/2021 11:21,12,150B,RotterdamPort,7,0
59,1/5/2021 8:00,BetaRig,DeckCargo,5,1/7/2021 18:53,5,150D,RotterdamPort,8,0
60,1/5/2021 8:00,BetaRig,Fuel,9500,1/7/2021 19:43,9500,150D,RotterdamPort,8,0
61,1/5/2021 8:00,BetaRig,Casing,20,1/8/2021 0:28,20,150D,RotterdamPort,8,0
62,1/5/2021 8:00,BetaRig,DryBulk,2000,1/8/2021 4:48,2000,150D,RotterdamPort,8,0
63,1/5/2021 8:00,BetaRig,Pipe,5,1/8/2021 5:36,5,150D,RotterdamPort,8,0
64,1/5/2021 8:00,CharlieRig,LiquidBulk,2200,1/9/2021 3:42,2200,150H,HamburgPort,4,0
65,1/5/2021 8:00,CharlieRig,Casing,12,1/9/2021 4:26,12,150H,HamburgPort,4,0
66,1/5/2021 8:00,CharlieRig,DryBulk,3100,1/9/2021 7:02,3100,150H,HamburgPort,4,0
67,1/5/2021 8:00,CharlieRig,Pipe,40,1/9/2021 15:18,40,150I,HamburgPort,4,0
68,1/5/2021 8:00,DeltaRig,DeckCargo,5,1/9/2021 16:19,5,150G,HamburgPort,5,0
69,1/5/2021 8:00,DeltaRig,LiquidBulk,3300,1/9/2021 17:09,3300,150G,HamburgPort,5,0
70,1/5/2021 8:00,DeltaRig,Fuel,2900,1/11/2021 3:16,2900,150J,HamburgPort,5,190000
71,1/5/2021 8:00,DeltaRig,Casing,12,1/11/2021 4:43,12,150J,HamburgPort,5,200000
72,1/5/2021 8:00,DeltaRig,DryBulk,2900,1/11/2021 7:19,2900,150J,HamburgPort,5,230000
73,1/6/2021 8:00,AlphaRig,Fuel,2000,1/9/2021 14:21,2000,150B,RotterdamPort,7,0
74,1/6/2021 8:00,AlphaRig,Casing,9,1/9/2021 15:21,9,150B,RotterdamPort,7,0
75,1/6/2021 8:00,BetaRig,DeckCargo,7,1/10/2021 9:39,7,150A,RotterdamPort,8,0
76,1/6/2021 8:00,BetaRig,LiquidBulk,1400,1/10/2021 10:49,1400,150A,RotterdamPort,8,0
77,1/6/2021 8:00,BetaRig,DryBulk,2100,1/10/2021 11:17,2100,150A,RotterdamPort,8,0
78,1/6/2021 8:00,CharlieRig,DeckCargo,32,1/9/2021 8:16,32,150H,HamburgPort,4,0
79,1/6/2021 8:00,CharlieRig,LiquidBulk,2100,1/9/2021 13:36,2100,150H,HamburgPort,4,0
80,1/6/2021 8:00,CharlieRig,Pipe,12,1/10/2021 1:18,12,150I,HamburgPort,4,0
81,1/6/2021 8:00,DeltaRig,Casing,20,1/11/2021 8:28,20,150J,HamburgPort,5,0
82,1/6/2021 8:00,DeltaRig,DryBulk,1800,1/11/2021 12:48,1800,150J,HamburgPort,5,40000
83,1/7/2021 8:00,AlphaRig,DeckCargo,5,1/9/2021 17:18,5,150B,RotterdamPort,7,0
84,1/7/2021 8:00,AlphaRig,DryBulk,2400,1/9/2021 18:08,2400,150B,RotterdamPort,7,0
85,1/7/2021 8:00,AlphaRig,Pipe,12,1/9/2021 19:06,12,150B,RotterdamPort,7,0
86,1/7/2021 8:00,BetaRig,DeckCargo,7,1/10/2021 12:07,7,150A,RotterdamPort,8,0
87,1/7/2021 8:00,BetaRig,Casing,12,1/10/2021 13:17,12,150A,RotterdamPort,8,0
88,1/7/2021 8:00,BetaRig,DryBulk,2200,1/10/2021 15:53,2200,150A,RotterdamPort,8,0
89,1/7/2021 8:00,BetaRig,Pipe,18,1/10/2021 16:46,18,150A,RotterdamPort,8,0
90,1/7/2021 8:00,CharlieRig,Fuel,6700,1/10/2021 4:18,6700,150I,HamburgPort,4,0
91,1/7/2021 8:00,CharlieRig,Casing,12,1/10/2021 7:39,12,150I,HamburgPort,4,0
92,1/7/2021 8:00,CharlieRig,DryBulk,1800,1/10/2021 10:15,1800,150I,HamburgPort,4,0
93,1/7/2021 8:00,CharlieRig,Pipe,18,1/12/2021 12:31,18,150E,HamburgPort,4,40000
94,1/7/2021 8:00,DeltaRig,DeckCargo,7,1/11/2021 13:31,7,150J,HamburgPort,5,0
95,1/7/2021 8:00,DeltaRig,LiquidBulk,3300,1/11/2021 14:41,3300,150J,HamburgPort,5,0
96,1/7/2021 8:00,DeltaRig,Fuel,7100,1/15/2021 22:07,7100,150F,HamburgPort,5,140000
97,1/7/2021 8:00,DeltaRig,Casing,12,1/16/2021 1:40,12,150F,HamburgPort,5,170000
98,1/7/2021 8:00,DeltaRig,Pipe,12,1/11/2021 15:47,12,150J,HamburgPort,5,0
99,1/8/2021 8:00,AlphaRig,LiquidBulk,4300,1/12/2021 6:48,4300,150C,RotterdamPort,7,0
100,1/8/2021 8:00,AlphaRig,Fuel,2400,1/9/2021 22:06,2400,150B,RotterdamPort,7,0
101,1/8/2021 8:00,AlphaRig,DryBulk,2200,1/12/2021 8:14,2200,150C,RotterdamPort,7,0
102,1/8/2021 8:00,BetaRig,DeckCargo,7,1/10/2021 21:16,7,150A,RotterdamPort,8,0
103,1/8/2021 8:00,BetaRig,LiquidBulk,2500,1/10/2021 22:26,2500,150A,RotterdamPort,8,0
104,1/8/2021 8:00,BetaRig,Casing,9,1/10/2021 23:16,9,150A,RotterdamPort,8,0
105,1/8/2021 8:00,BetaRig,DryBulk,2500,1/11/2021 1:13,2500,150A,RotterdamPort,8,0
106,1/8/2021 8:00,CharlieRig,LiquidBulk,2300,1/12/2021 19:43,2300,150E,HamburgPort,4,0
107,1/8/2021 8:00,CharlieRig,Casing,20,1/12/2021 20:29,20,150E,HamburgPort,4,0
108,1/8/2021 8:00,CharlieRig,DryBulk,2500,1/13/2021 0:49,2500,150E,HamburgPort,4,0
109,1/8/2021 8:00,DeltaRig,DeckCargo,7,1/16/2021 4:56,7,150H,HamburgPort,5,200000
110,1/8/2021 8:00,DeltaRig,LiquidBulk,1500,1/16/2021 4:16,1500,150F,HamburgPort,5,200000
111,1/8/2021 8:00,DeltaRig,Casing,12,1/16/2021 4:46,12,150F,HamburgPort,5,200000
112,1/8/2021 8:00,DeltaRig,DryBulk,2600,1/16/2021 6:06,2600,150H,HamburgPort,5,220000
113,1/9/2021 8:00,AlphaRig,Casing,20,1/12/2021 9:07,20,150C,RotterdamPort,7,0
114,1/9/2021 8:00,AlphaRig,DryBulk,2300,1/12/2021 13:27,2300,150C,RotterdamPort,7,0
115,1/9/2021 8:00,AlphaRig,Pipe,5,1/12/2021 14:22,5,150C,RotterdamPort,7,0
116,1/9/2021 8:00,BetaRig,LiquidBulk,2900,1/14/2021 8:13,2900,150D,RotterdamPort,8,0
117,1/9/2021 8:00,BetaRig,Fuel,1300,1/14/2021 9:11,1300,150D,RotterdamPort,8,10000
118,1/9/2021 8:00,BetaRig,Casing,9,1/14/2021 17:45,9,150D,RotterdamPort,8,90000
119,1/9/2021 8:00,BetaRig,DryBulk,2700,1/14/2021 19:42,2700,150D,RotterdamPort,8,110000
120,1/9/2021 8:00,BetaRig,Pipe,5,1/14/2021 20:47,5,150D,RotterdamPort,8,120000
121,1/9/2021 8:00,CharlieRig,DeckCargo,5,1/12/2021 17:01,5,150E,HamburgPort,4,0
122,1/9/2021 8:00,CharlieRig,Fuel,1500,1/12/2021 17:51,1500,150E,HamburgPort,4,0
123,1/9/2021 8:00,CharlieRig,DryBulk,2800,1/12/2021 18:36,2800,150E,HamburgPort,4,0
124,1/9/2021 8:00,DeltaRig,DeckCargo,5,1/16/2021 7:22,5,150F,HamburgPort,5,230000
125,1/9/2021 8:00,DeltaRig,LiquidBulk,1700,1/16/2021 7:09,1700,150H,HamburgPort,5,230000
126,1/9/2021 8:00,DeltaRig,DryBulk,3300,1/16/2021 7:43,3300,150H,HamburgPort,5,230000
127,1/9/2021 8:00,DeltaRig,Pipe,5,1/16/2021 8:12,5,150F,HamburgPort,5,0
128,1/10/2021 8:00,AlphaRig,Casing,20,1/12/2021 15:37,20,150C,RotterdamPort,7,0
129,1/10/2021 8:00,BetaRig,DeckCargo,5,1/14/2021 9:50,5,150D,RotterdamPort,8,0
130,1/10/2021 8:00,BetaRig,Fuel,3100,1/14/2021 10:40,3100,150D,RotterdamPort,8,0
131,1/10/2021 8:00,BetaRig,DryBulk,2600,1/14/2021 12:13,2600,150D,RotterdamPort,8,0
132,1/10/2021 8:00,BetaRig,Pipe,18,1/14/2021 13:15,18,150D,RotterdamPort,8,0
133,1/10/2021 8:00,CharlieRig,DeckCargo,7,1/13/2021 1:49,7,150E,HamburgPort,4,0
134,1/10/2021 8:00,CharlieRig,LiquidBulk,2100,1/13/2021 2:59,2100,150E,HamburgPort,4,0
135,1/10/2021 8:00,CharlieRig,Fuel,1700,1/13/2021 3:41,1700,150E,HamburgPort,4,0
136,1/10/2021 8:00,CharlieRig,Casing,12,1/15/2021 10:52,12,150I,HamburgPort,4,20000
137,1/10/2021 8:00,CharlieRig,DryBulk,2700,1/15/2021 13:28,2700,150I,HamburgPort,4,50000
138,1/10/2021 8:00,DeltaRig,DeckCargo,5,1/16/2021 9:27,5,150F,HamburgPort,5,10000
139,1/10/2021 8:00,DeltaRig,Fuel,1500,1/16/2021 9:02,1500,150H,HamburgPort,5,10000
140,1/10/2021 8:00,DeltaRig,Casing,12,1/16/2021 9:47,12,150H,HamburgPort,5,10000
141,1/10/2021 8:00,DeltaRig,Pipe,12,1/16/2021 10:17,12,150F,HamburgPort,5,20000
142,1/11/2021 8:00,AlphaRig,Casing,12,1/14/2021 10:54,12,150B,RotterdamPort,7,0
143,1/11/2021 8:00,AlphaRig,DryBulk,2300,1/12/2021 19:57,2300,150C,RotterdamPort,7,0
144,1/11/2021 8:00,AlphaRig,Pipe,12,1/14/2021 13:30,12,150B,RotterdamPort,7,0
145,1/11/2021 8:00,BetaRig,LiquidBulk,3100,1/15/2021 9:28,3100,150A,RotterdamPort,8,0
146,1/11/2021 8:00,BetaRig,Fuel,8100,1/15/2021 10:30,8100,150A,RotterdamPort,8,0
147,1/11/2021 8:00,CharlieRig,DeckCargo,1,1/15/2021 14:33,1,150I,HamburgPort,4,0
148,1/11/2021 8:00,CharlieRig,Fuel,1600,1/15/2021 14:43,1600,150I,HamburgPort,4,0
149,1/11/2021 8:00,CharlieRig,Casing,20,1/15/2021 15:31,20,150I,HamburgPort,4,0
150,1/11/2021 8:00,CharlieRig,DryBulk,2500,1/15/2021 19:51,2500,150I,HamburgPort,4,0
151,1/11/2021 8:00,CharlieRig,Pipe,12,1/15/2021 20:51,12,150I,HamburgPort,4,0
152,1/11/2021 8:00,DeltaRig,DeckCargo,25,1/16/2021 12:23,25,150H,HamburgPort,5,40000
153,1/11/2021 8:00,DeltaRig,LiquidBulk,3500,1/16/2021 13:17,3500,150F,HamburgPort,5,50000
154,1/11/2021 8:00,DeltaRig,DryBulk,2300,1/19/2021 2:51,2300,150G,HamburgPort,5,180000
155,1/12/2021 8:00,AlphaRig,LiquidBulk,1600,1/14/2021 16:30,1600,150B,RotterdamPort,7,0
156,1/12/2021 8:00,AlphaRig,Casing,20,1/14/2021 17:02,20,150B,RotterdamPort,7,0
157,1/12/2021 8:00,BetaRig,DeckCargo,25,1/14/2021 22:02,25,150D,RotterdamPort,8,0
158,1/12/2021 8:00,BetaRig,LiquidBulk,1500,1/15/2021 14:33,1500,150A,RotterdamPort,8,0
159,1/12/2021 8:00,BetaRig,Fuel,6900,1/15/2021 15:03,6900,150A,RotterdamPort,8,0
160,1/12/2021 8:00,BetaRig,Casing,20,1/16/2021 10:35,20,150C,RotterdamPort,8,0
161,1/12/2021 8:00,BetaRig,DryBulk,2800,1/16/2021 14:55,2800,150C,RotterdamPort,8,0
162,1/12/2021 8:00,BetaRig,Pipe,18,1/16/2021 16:03,18,150C,RotterdamPort,8,0
163,1/12/2021 8:00,CharlieRig,DeckCargo,7,1/15/2021 23:51,7,150I,HamburgPort,4,0
164,1/12/2021 8:00,CharlieRig,Casing,12,1/16/2021 1:01,12,150I,HamburgPort,4,0
165,1/12/2021 8:00,CharlieRig,Pipe,18,1/18/2021 1:57,18,150E,HamburgPort,4,170000
166,1/12/2021 8:00,DeltaRig,DeckCargo,5,1/16/2021 16:33,5,150H,HamburgPort,5,0
167,1/12/2021 8:00,DeltaRig,LiquidBulk,1300,1/16/2021 17:23,1300,150H,HamburgPort,5,0
168,1/12/2021 8:00,DeltaRig,Fuel,1500,1/16/2021 17:49,1500,150H,HamburgPort,5,0
169,1/12/2021 8:00,DeltaRig,Casing,9,1/16/2021 18:34,9,150H,HamburgPort,5,0
170,1/12/2021 8:00,DeltaRig,DryBulk,2600,1/16/2021 20:31,2600,150H,HamburgPort,5,0
171,1/13/2021 8:00,AlphaRig,Fuel,2600,1/14/2021 21:22,2600,150B,RotterdamPort,7,0
172,1/13/2021 8:00,AlphaRig,Casing,20,1/14/2021 22:40,20,150B,RotterdamPort,7,0
173,1/13/2021 8:00,AlphaRig,Pipe,18,1/17/2021 16:10,18,150B,RotterdamPort,7,0
174,1/13/2021 8:00,BetaRig,Fuel,8700,1/16/2021 20:33,8700,150C,RotterdamPort,8,0
175,1/13/2021 8:00,BetaRig,Casing,9,1/15/2021 18:30,9,150A,RotterdamPort,8,0
176,1/13/2021 8:00,CharlieRig,DeckCargo,1,1/16/2021 3:37,1,150I,HamburgPort,4,0
177,1/13/2021 8:00,CharlieRig,Fuel,7700,1/18/2021 16:44,7700,150J,HamburgPort,4,80000
178,1/13/2021 8:00,CharlieRig,Casing,20,1/18/2021 20:35,20,150J,HamburgPort,4,120000
179,1/13/2021 8:00,CharlieRig,DryBulk,2300,1/18/2021 6:27,2300,150E,HamburgPort,4,0
180,1/13/2021 8:00,DeltaRig,Casing,9,1/19/2021 3:46,9,150G,HamburgPort,5,190000
181,1/13/2021 8:00,DeltaRig,DryBulk,2200,1/19/2021 5:43,2200,150G,HamburgPort,5,210000
182,1/14/2021 8:00,AlphaRig,DeckCargo,5,1/18/2021 2:05,5,150B,RotterdamPort,7,0
183,1/14/2021 8:00,BetaRig,DeckCargo,7,1/17/2021 0:54,7,150C,RotterdamPort,8,0
184,1/14/2021 8:00,BetaRig,Fuel,7700,1/19/2021 8:26,7700,150D,RotterdamPort,8,0
185,1/14/2021 8:00,BetaRig,Casing,12,1/19/2021 12:17,12,150D,RotterdamPort,8,40000
186,1/14/2021 8:00,BetaRig,DryBulk,2100,1/19/2021 14:53,2100,150D,RotterdamPort,8,60000
187,1/14/2021 8:00,BetaRig,Pipe,5,1/17/2021 2:04,5,150C,RotterdamPort,8,0
188,1/14/2021 8:00,CharlieRig,DeckCargo,5,1/19/2021 0:55,5,150J,HamburgPort,4,0
189,1/14/2021 8:00,CharlieRig,LiquidBulk,1500,1/19/2021 1:45,1500,150J,HamburgPort,4,0
190,1/14/2021 8:00,CharlieRig,Fuel,1700,1/19/2021 2:15,1700,150J,HamburgPort,4,0
191,1/14/2021 8:00,CharlieRig,Pipe,40,1/21/2021 7:44,40,150I,HamburgPort,4,230000
192,1/14/2021 8:00,DeltaRig,Fuel,2200,1/19/2021 6:36,2200,150G,HamburgPort,5,0
193,1/14/2021 8:00,DeltaRig,Casing,20,1/19/2021 7:42,20,150G,HamburgPort,5,0
194,1/14/2021 8:00,DeltaRig,DryBulk,1900,1/19/2021 12:02,1900,150G,HamburgPort,5,40000
195,1/15/2021 8:00,AlphaRig,LiquidBulk,3400,1/18/2021 2:55,3400,150B,RotterdamPort,7,0
196,1/15/2021 8:00,AlphaRig,Fuel,2200,1/18/2021 4:03,2200,150B,RotterdamPort,7,0
197,1/15/2021 8:00,AlphaRig,Casing,12,1/18/2021 5:09,12,150B,RotterdamPort,7,0
198,1/15/2021 8:00,AlphaRig,DryBulk,2100,1/19/2021 15:00,2100,150A,RotterdamPort,7,0
199,1/15/2021 8:00,AlphaRig,Pipe,60,1/19/2021 15:50,60,150A,RotterdamPort,7,0
200,1/15/2021 8:00,BetaRig,DeckCargo,5,1/19/2021 18:55,5,150D,RotterdamPort,8,0
201,1/15/2021 8:00,BetaRig,Casing,9,1/21/2021 22:05,9,150C,RotterdamPort,8,140000
202,1/15/2021 8:00,BetaRig,DryBulk,2900,1/21/2021 20:14,2900,150B,RotterdamPort,8,120000
203,1/15/2021 8:00,BetaRig,Pipe,12,1/22/2021 0:02,12,150C,RotterdamPort,8,160000
204,1/15/2021 8:00,CharlieRig,DeckCargo,5,1/18/2021 7:23,5,150E,HamburgPort,4,0
205,1/15/2021 8:00,CharlieRig,LiquidBulk,3700,1/18/2021 8:13,3700,150E,HamburgPort,4,0
206,1/15/2021 8:00,CharlieRig,Fuel,6100,1/18/2021 9:27,6100,150E,HamburgPort,4,0
207,1/15/2021 8:00,CharlieRig,Casing,12,1/18/2021 12:30,12,150E,HamburgPort,4,0
208,1/15/2021 8:00,CharlieRig,DryBulk,1800,1/18/2021 15:06,1800,150E,HamburgPort,4,0
209,1/15/2021 8:00,DeltaRig,DeckCargo,7,1/19/2021 12:47,7,150G,HamburgPort,5,0
210,1/15/2021 8:00,DeltaRig,LiquidBulk,2200,1/19/2021 13:57,2200,150G,HamburgPort,5,0
211,1/15/2021 8:00,DeltaRig,Casing,12,1/19/2021 14:41,12,150G,HamburgPort,5,0
212,1/15/2021 8:00,DeltaRig,DryBulk,2700,1/25/2021 0:19,2700,150F,HamburgPort,5,160000
213,1/15/2021 8:00,DeltaRig,Pipe,18,1/25/2021 3:06,18,150F,HamburgPort,5,190000
214,1/16/2021 8:00,AlphaRig,LiquidBulk,3500,1/17/2021 20:40,3500,150B,RotterdamPort,7,0
215,1/16/2021 8:00,AlphaRig,Fuel,2100,1/17/2021 21:50,2100,150B,RotterdamPort,7,0
216,1/16/2021 8:00,AlphaRig,Casing,9,1/17/2021 22:53,9,150B,RotterdamPort,7,0
217,1/16/2021 8:00,AlphaRig,Pipe,5,1/18/2021 0:50,5,150B,RotterdamPort,7,0
218,1/16/2021 8:00,BetaRig,DeckCargo,1,1/19/2021 19:45,1,150D,RotterdamPort,8,0
219,1/16/2021 8:00,BetaRig,Fuel,8100,1/21/2021 21:23,8100,150B,RotterdamPort,8,130000
220,1/16/2021 8:00,BetaRig,Casing,12,1/22/2021 1:26,12,150B,RotterdamPort,8,170000
221,1/16/2021 8:00,BetaRig,DryBulk,2400,1/22/2021 4:02,2400,150B,RotterdamPort,8,200000
222,1/16/2021 8:00,CharlieRig,DeckCargo,32,1/19/2021 3:06,32,150J,HamburgPort,4,0
223,1/16/2021 8:00,CharlieRig,Fuel,2100,1/19/2021 8:26,2100,150J,HamburgPort,4,0
224,1/16/2021 8:00,CharlieRig,DryBulk,2000,1/19/2021 9:29,2000,150J,HamburgPort,4,0
225,1/16/2021 8:00,DeltaRig,DeckCargo,7,1/27/2021 3:12,7,150H,HamburgPort,5,190000
226,1/16/2021 8:00,DeltaRig,LiquidBulk,3300,1/26/2021 5:00,3300,150E,HamburgPort,5,210000
227,1/16/2021 8:00,DeltaRig,Fuel,8600,1/25/2021 7:36,8600,150F,HamburgPort,5,230000
228,1/16/2021 8:00,DeltaRig,Casing,12,1/27/2021 4:22,12,150H,HamburgPort,5,200000
229,1/16/2021 8:00,DeltaRig,DryBulk,2400,1/27/2021 6:58,2400,150H,HamburgPort,5,220000
230,1/16/2021 8:00,DeltaRig,Pipe,12,1/27/2021 7:55,12,150H,HamburgPort,5,230000
231,1/17/2021 8:00,AlphaRig,Fuel,8400,1/22/2021 22:02,8400,150A,RotterdamPort,7,140000
232,1/17/2021 8:00,AlphaRig,DryBulk,3300,1/23/2021 2:14,3300,150A,RotterdamPort,7,180000
233,1/17/2021 8:00,AlphaRig,Pipe,5,1/20/2021 11:10,5,150A,RotterdamPort,7,0
234,1/17/2021 8:00,BetaRig,LiquidBulk,2500,1/19/2021 15:43,2500,150D,RotterdamPort,8,0
235,1/17/2021 8:00,BetaRig,Fuel,2400,1/19/2021 16:33,2400,150D,RotterdamPort,8,0
236,1/17/2021 8:00,BetaRig,Casing,20,1/22/2021 5:00,20,150B,RotterdamPort,8,0
237,1/17/2021 8:00,BetaRig,DryBulk,2900,1/19/2021 17:45,2900,150D,RotterdamPort,8,0
238,1/17/2021 8:00,CharlieRig,DeckCargo,5,1/21/2021 23:49,5,150I,HamburgPort,4,0
239,1/17/2021 8:00,CharlieRig,Casing,9,1/22/2021 0:39,9,150I,HamburgPort,4,0
240,1/17/2021 8:00,CharlieRig,Pipe,5,1/22/2021 2:36,5,150I,HamburgPort,4,0
241,1/17/2021 8:00,DeltaRig,DeckCargo,5,1/26/2021 6:06,5,150E,HamburgPort,5,220000
242,1/17/2021 8:00,DeltaRig,DryBulk,2800,1/25/2021 11:54,2800,150F,HamburgPort,5,30000
243,1/18/2021 8:00,AlphaRig,Casing,20,1/20/2021 6:50,20,150A,RotterdamPort,7,0
244,1/18/2021 8:00,AlphaRig,Pipe,18,1/26/2021 9:09,18,150D,RotterdamPort,7,10000
245,1/18/2021 8:00,BetaRig,DeckCargo,7,1/22/2021 9:20,7,150B,RotterdamPort,8,0
